Bergseen,"Biber Jones",Biber-Mail-Adressen,Biberone,"Brennende Kerzen","Der Drachen ist weg!","Entdecke Seoul!",Helligkeitskarte,"Hin und Her",Jahr,Klasse,Klassenstufe,Kurierdienst,Land,Mehltransport,Name,Parkplätze,Prüfbiber,Prüfungsplan,"Schere, Stein, Papier",Schule,"Schwarz - Weiss",Team,ÖV
9,0,-3,9,6,0,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",-2,N/A,0,ijglk,12,12,-4,12,N/A,0,N/A,-3
9,0,-3,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,zjuqc,12,0,0,0,N/A,9,qh34,0
-3,-4,0,0,6,6,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,kpmds,12,0,0,0,N/A,9,N/A,0
9,0,0,0,6,-2,0,0,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,fagbv,12,0,0,0,N/A,-3,N/A,0
9,-4,0,0,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,0,wmfql,12,0,0,0,N/A,9,N/A,0
0,-4,0,0,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",6,N/A,0,cgxvl,12,0,0,12,N/A,0,N/A,-3
-3,0,0,0,6,6,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,-2,fpvyz,12,0,0,0,N/A,0,N/A,0
-3,0,-3,0,6,0,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",0,N/A,6,yqtem,12,0,0,0,N/A,-3,pahg,0
-3,0,0,0,6,6,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,faelc,0,0,0,0,N/A,-3,N/A,-3
-3,0,0,-3,6,6,0,-2,0,2025,DET,"Schuljahre 11, 12 und 13",-2,N/A,0,vnari,12,-4,-4,12,N/A,0,eo85,0
-3,-4,9,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,-2,zlwoq,12,0,0,-4,N/A,-3,pw5v,-3
-3,0,0,0,6,6,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,ztvrs,0,-4,0,0,N/A,-3,garn,-3
9,-4,0,-3,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",6,N/A,6,ztcfv,-4,0,0,0,N/A,0,N/A,-3
-3,0,0,-3,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,6,cxvoa,12,-4,0,0,N/A,0,N/A,0
0,0,0,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",-2,N/A,-2,ewuta,12,0,0,0,N/A,-3,v2zg,0
-3,0,-3,-3,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,6,nbyls,12,-4,0,-4,N/A,0,N/A,-3
0,0,0,0,6,-2,0,0,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,6,plcmn,0,0,0,0,N/A,0,N/A,-3
-3,0,0,-3,6,-2,0,0,0,2025,IGQ,"Schuljahre 11, 12 und 13",0,N/A,0,lsvgi,-4,0,0,12,N/A,-3,N/A,0
0,0,0,0,6,-2,0,-2,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,-2,tyxfb,0,0,0,-4,N/A,0,6od8,0
0,0,0,0,6,-2,0,6,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,-2,mhubi,0,0,0,0,N/A,-3,N/A,-3
9,-4,9,-3,6,-2,0,-2,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,-2,qalpy,-4,-4,0,-4,N/A,-3,N/A,-3
-3,-4,-3,-3,-2,-2,0,-2,0,2025,IGQ,"Schuljahre 11, 12 und 13",6,N/A,-2,gkvyj,0,-4,0,12,N/A,-3,N/A,-3
-3,0,9,0,-2,-2,0,-2,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,-2,aumnw,0,0,0,-4,N/A,-3,N/A,-3
-3,0,-3,-3,-2,-2,0,-2,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,6,ufcav,0,0,0,0,N/A,-3,N/A,-3
-3,-4,9,-3,6,-2,0,-2,0,2025,IGQ,"Schuljahre 11, 12 und 13",-2,N/A,-2,jrdhs,-4,-4,-4,-4,N/A,-3,N/A,-3
9,0,-3,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,xkjrl,12,0,0,0,N/A,9,qh34,0
-3,0,-3,0,6,0,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",0,N/A,6,kolvs,12,0,0,0,N/A,-3,pahg,0
-3,0,0,-3,6,6,0,-2,0,2025,DET,"Schuljahre 11, 12 und 13",-2,N/A,0,kzbsi,12,-4,-4,12,N/A,0,eo85,0
-3,-4,9,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,-2,yburv,12,0,0,-4,N/A,-3,pw5v,-3
-3,0,0,0,6,6,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,6,etciu,0,-4,0,0,N/A,-3,garn,-3
0,0,0,0,6,-2,0,6,0,2025,DET,"Schuljahre 11, 12 und 13",-2,N/A,-2,grezt,12,0,0,0,N/A,-3,v2zg,0
0,0,0,0,6,-2,0,-2,0,2025,DET,"Schuljahre 11, 12 und 13",6,N/A,-2,vqbjf,0,0,0,-4,N/A,0,6od8,0
